sales_id,name,year,selling_price,km_driven,region,state_or_province,city,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,gdp_growth,gscpi
1,Maruti,2014,450000,145500,East,District of Columbia,Washington,Diesel,Individual,Manual,First_Owner,23.4,1248,74.0,190Nm@ 2000rpm,5,Y,0.026504925000000002,-0.6713802335432447
2,Skoda,2014,370000,120000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,21.14,1498,103.52,250Nm@ 1500-2500rpm,5,Y,0.026504925000000002,-0.6713802335432447
3,Honda,2006,158000,140000,Central,Illinois,Chicago,Petrol,Individual,Manual,Third_Owner,17.7,1497,78.0,"12.7@ 2,700(kgm@ rpm)",5,Y,0.026008707500000002,-0.2501383407890948
4,Hyundai,2010,225000,127000,Central,Illinois,Chicago,Diesel,Individual,Manual,First_Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y,0.027380649999999996,0.2466662547445887
5,Maruti,2007,130000,120000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,16.1,1298,88.2,"11.5@ 4,500(kgm@ rpm)",5,Y,0.021107775000000002,-0.46428619899975315
6,Hyundai,2017,440000,45000,East,New York,New York City,Petrol,Individual,Manual,First_Owner,20.14,1197,81.86,113.75nm@ 4000rpm,5,Y,0.029501875,0.3030896510933923
7,Maruti,2007,96000,175000,West,California,Los Angeles,LPG,Individual,Manual,First_Owner,17.3,1061,57.5,"7.8@ 4,500(kgm@ rpm)",5,Y,0.021107775000000002,-0.46428619899975315
8,Maruti,2001,45000,5000,West,California,Los Angeles,Petrol,Individual,Manual,Second_Owner,16.1,796,37.0,59Nm@ 2500rpm,4,Y,0.0016711500000000002,-0.8953891124871896
9,Toyota,2011,350000,90000,West,California,Los Angeles,Diesel,Individual,Manual,First_Owner,23.59,1364,67.1,170Nm@ 1800-2400rpm,5,Y,0.015311776249999999,0.33246787608046274
10,Ford,2013,200000,169000,Central,Texas,Houston,Diesel,Individual,Manual,First_Owner,20.0,1399,68.1,160Nm@ 2000rpm,5,Y,0.029642225,-0.4956352992239145
11,Renault,2014,500000,68000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,19.01,1461,108.45,248Nm@ 2250rpm,5,Y,0.026504925000000002,-0.6713802335432447
12,Maruti,2005,92000,100000,Central,Texas,Houston,Petrol,Individual,Manual,Second_Owner,17.3,993,60.0,78Nm@ 4500rpm,5,Y,0.029290675,-0.5281067572390872
13,Maruti,2009,280000,140000,Central,Texas,Houston,Diesel,Individual,Manual,Second_Owner,19.3,1248,73.9,190Nm@ 2000rpm,5,Y,0.0010549199999999991,-0.3359574993131331
15,Maruti,2009,180000,90000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second_Owner,18.9,1061,67.0,84Nm@ 3500rpm,5,Y,0.0010549199999999991,-0.3359574993131331
16,Mahindra,2016,400000,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,First_Owner,18.15,1198,82.0,115Nm@ 3500-3600rpm,5,Y,0.0215839,-0.36137639782381054
17,Maruti,2016,778000,70000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,24.52,1248,88.5,200Nm@ 1750rpm,7,Y,0.0215839,-0.36137639782381054
18,Hyundai,2012,500000,53000,Central,Texas,Dallas,Diesel,Individual,Manual,Second_Owner,23.0,1396,90.0,22.4 kgm at 1750-2750rpm,5,Y,0.015401085000000002,-0.25819716106988044
19,Maruti,2002,150000,80000,Central,Texas,Dallas,Petrol,Individual,Manual,Second_Owner,19.7,796,46.3,62Nm@ 3000rpm,5,Y,0.019728885,-0.7360650308747648
20,Hyundai,2016,680000,100000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,22.54,1396,88.73,219.7Nm@ 1500-2750rpm,5,Y,0.0215839,-0.36137639782381054
21,Mahindra,2011,174000,100000,East,New York,New York City,Diesel,Individual,Manual,Second_Owner,21.0,1461,64.1,160Nm@ 2000rpm,5,Y,0.015311776249999999,0.33246787608046274
22,Honda,2017,950000,50000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,25.5,1498,98.6,200Nm@ 1750rpm,5,Y,0.029501875,0.3030896510933923
23,Maruti,2015,525000,40000,Central,Texas,Dallas,Diesel,Individual,Manual,First_Owner,26.59,1248,74.0,190Nm@ 2000rpm,5,Y,0.0209784025,-0.4860680299374063
24,Maruti,2012,600000,72000,East,New York,New York City,Diesel,Individual,Manual,First_Owner,21.5,1248,88.8,200Nm@ 1750rpm,5,Y,0.015401085000000002,-0.25819716106988044
